# format_version: 3
# timestamp: 1788906917.5735033
# joints: [{"name": "trailing_arm_pivot_a", "label": "Arm Front Pivot", "type": "spherical", "point": "trailing_arm_pivot_a", "housing_part": "Semi-Trailing Arm", "housing_rotation": "fitted", "bore_part": "Chassis", "bore_rotation": "ground", "housing_mode": "centred", "housing_axis": null, "bore_axis": [0.0, -1.0, 0.0], "bore_perpendiculars": [], "spin_axis": null, "cone_deg": 90.0, "install_offset_deg": 0.0, "description": "Arm Front Pivot: housing on 'Semi-Trailing Arm' (fitted from >=3 points), bore on 'Chassis' (fixed to chassis), housing centred"}, {"name": "trailing_arm_pivot_b", "label": "Arm Rear Pivot", "type": "spherical", "point": "trailing_arm_pivot_b", "housing_part": "Semi-Trailing Arm", "housing_rotation": "fitted", "bore_part": "Chassis", "bore_rotation": "ground", "housing_mode": "centred", "housing_axis": null, "bore_axis": [0.0, -1.0, 0.0], "bore_perpendiculars": [], "spin_axis": null, "cone_deg": 90.0, "install_offset_deg": 0.0, "description": "Arm Rear Pivot: housing on 'Semi-Trailing Arm' (fitted from >=3 points), bore on 'Chassis' (fixed to chassis), housing centred"}, {"name": "strut_top", "label": "Damper Upper Mount", "type": "spherical", "point": "strut_top", "housing_part": "Spring/Damper", "housing_rotation": "transport", "bore_part": "Chassis", "bore_rotation": "ground", "housing_mode": "indeterminate", "housing_axis": null, "bore_axis": [0.0, 1.0, 0.0], "bore_perpendiculars": [], "spin_axis": [-0.732611187020823, 0.0, -0.6806473746749786], "cone_deg": 90.0, "install_offset_deg": 0.0, "description": "Damper Upper Mount: housing on 'Spring/Damper' (2-point link, transport (spin undetermined)), bore on 'Chassis' (fixed to chassis), housing indeterminate"}, {"name": "strut_bottom", "label": "Damper Lower Mount", "type": "spherical", "point": "strut_bottom", "housing_part": "Spring/Damper", "housing_rotation": "transport", "bore_part": "Semi-Trailing Arm", "bore_rotation": "fitted", "housing_mode": "indeterminate", "housing_axis": null, "bore_axis": [0.0, 1.0, 0.0], "bore_perpendiculars": [], "spin_axis": [-0.732611187020823, 0.0, -0.6806473746749786], "cone_deg": 90.0, "install_offset_deg": 0.0, "description": "Damper Lower Mount: housing on 'Spring/Damper' (2-point link, transport (spin undetermined)), bore on 'Semi-Trailing Arm' (fitted from >=3 points), housing indeterminate"}]
# geometry_path: C:\Users\rapha\Documents\BSSR\Suspension_App\BSSR-suspension\models\aurora\rear.yaml
# geometry_hash: efb23143cbf52705b4e46d41b386a8120aac2025a091ef47df943ac7cc43be45
# sweep_path: C:\Users\rapha\Documents\BSSR\Suspension_App\BSSR-suspension\models\aurora\outputs\rear\_resolved_sweeps\01_bump.yaml
# sweep_hash: 23f477d4b8276cb53ff9a041b367b29d4f9a2934aaffc46b3e3a299049d816ca
# column_units: {"anti_dive": "%", "anti_lift": "%", "anti_squat": "%", "axle_inboard_x": "mm", "axle_inboard_y": "mm", "axle_inboard_z": "mm", "axle_midpoint_x": "mm", "axle_midpoint_y": "mm", "axle_midpoint_z": "mm", "axle_outboard_x": "mm", "axle_outboard_y": "mm", "axle_outboard_z": "mm", "damper_length": "mm", "deriv_damper_length_wrt_hub_z": "mm/mm", "deriv_wheel_center_x_wrt_hub_z": "mm/mm", "joint_strut_bottom_rx": "deg", "joint_strut_bottom_ry": "deg", "joint_strut_bottom_rz": "deg", "joint_strut_top_rx": "deg", "joint_strut_top_ry": "deg", "joint_strut_top_rz": "deg", "joint_trailing_arm_pivot_a_rx": "deg", "joint_trailing_arm_pivot_a_ry": "deg", "joint_trailing_arm_pivot_a_rz": "deg", "joint_trailing_arm_pivot_b_rx": "deg", "joint_trailing_arm_pivot_b_ry": "deg", "joint_trailing_arm_pivot_b_rz": "deg", "misalign_strut_bottom": "deg", "misalign_strut_top": "deg", "misalign_trailing_arm_pivot_a": "deg", "misalign_trailing_arm_pivot_b": "deg", "strut_bottom_x": "mm", "strut_bottom_y": "mm", "strut_bottom_z": "mm", "strut_top_x": "mm", "strut_top_y": "mm", "strut_top_z": "mm", "svic_x": "mm", "svic_z": "mm", "svsa_angle": "deg", "svsa_length": "mm", "target_wheel_center_z": "mm", "trailing_arm_pivot_a_x": "mm", "trailing_arm_pivot_a_y": "mm", "trailing_arm_pivot_a_z": "mm", "trailing_arm_pivot_b_x": "mm", "trailing_arm_pivot_b_y": "mm", "trailing_arm_pivot_b_z": "mm", "wheel_center_x": "mm", "wheel_center_y": "mm", "wheel_center_z": "mm", "wheel_contact_centre_x": "mm", "wheel_contact_centre_y": "mm", "wheel_contact_centre_z": "mm", "wheel_inboard_x": "mm", "wheel_inboard_y": "mm", "wheel_inboard_z": "mm", "wheel_outboard_x": "mm", "wheel_outboard_y": "mm", "wheel_outboard_z": "mm", "wheel_travel": "mm"}
#
step_index,solver_converged,solver_max_residual,solver_nfev,target_wheel_center_z,svic_x,svic_z,svsa_length,wheel_travel,damper_length,svsa_angle,anti_dive,anti_lift,anti_squat,joint_trailing_arm_pivot_a_rx,joint_trailing_arm_pivot_a_ry,joint_trailing_arm_pivot_a_rz,misalign_trailing_arm_pivot_a,joint_trailing_arm_pivot_b_rx,joint_trailing_arm_pivot_b_ry,joint_trailing_arm_pivot_b_rz,misalign_trailing_arm_pivot_b,joint_strut_top_rx,joint_strut_top_ry,joint_strut_top_rz,misalign_strut_top,joint_strut_bottom_rx,joint_strut_bottom_ry,joint_strut_bottom_rz,misalign_strut_bottom,deriv_wheel_center_x_wrt_hub_z,deriv_damper_length_wrt_hub_z,trailing_arm_pivot_a_x,trailing_arm_pivot_a_y,trailing_arm_pivot_a_z,trailing_arm_pivot_b_x,trailing_arm_pivot_b_y,trailing_arm_pivot_b_z,axle_inboard_x,axle_inboard_y,axle_inboard_z,axle_outboard_x,axle_outboard_y,axle_outboard_z,axle_midpoint_x,axle_midpoint_y,axle_midpoint_z,wheel_center_x,wheel_center_y,wheel_center_z,wheel_inboard_x,wheel_inboard_y,wheel_inboard_z,wheel_outboard_x,wheel_outboard_y,wheel_outboard_z,wheel_contact_centre_x,wheel_contact_centre_y,wheel_contact_centre_z,strut_top_x,strut_top_y,strut_top_z,strut_bottom_x,strut_bottom_y,strut_bottom_z
0,True,5.684341886080802e-14,5,227.7,-1865.0,278.5,371.54321519993664,-50.80000000000001,348.81477535817135,41.611079036571525,,160.66269950125366,535.5423316708454,4.000667381499189e-12,7.78560579678661,-5.88809024114565e-11,0.0,4.000667381499189e-12,7.78560579678661,-5.88809024114565e-11,0.0,0.0,3.989099037911428,0.0,0.0,-1.9478046545906336e-12,-3.7965067588751826,5.894959691645537e-11,4.574474132823525e-11,-0.13672702910928763,-0.5656925008710537,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2236.5432151999366,70.33200001400839,227.7,-2236.5432151999366,-23.737,227.7,-2236.5432151999366,23.297500007004196,227.7,-2236.5432151999366,0.0,227.7,-2236.5432151999366,47.5,227.7,-2236.5432151999366,-47.5,227.7,-2236.5432151999366,0.0,-51.5,-1901.921,100.0,546.579,-2140.3309861939383,100.0,291.95687607676797
1,True,5.684341886080802e-14,4,230.24,-1865.0,278.5,371.8816655350279,-48.25999999999999,347.3765440913305,41.36549723753074,,160.3775141286153,534.591713762051,3.805395646198393e-12,7.394091556512395,-5.890727201126147e-11,0.0,3.805395646198393e-12,7.394091556512395,-5.890727201126147e-11,0.0,0.0,3.7888850433420753,0.0,0.0,-1.8549778369449535e-12,-3.605206513170318,5.896957364090233e-11,4.5645265345228836e-11,-0.12977246385773838,-0.5667758735328519,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2236.881665535028,70.33200001400826,230.24,-2236.881665535028,-23.737,230.24,-2236.881665535028,23.297500007004132,230.24,-2236.881665535028,0.0,230.24,-2236.881665535028,47.5,230.24,-2236.881665535028,-47.5,230.24,-2236.881665535028,0.0,-48.95999999999998,-1901.921,100.0,546.579,-2140.232605253404,100.0,293.837942420544
2,True,1.1368683772161603e-13,4,232.78,-1865.0,278.5,372.2024749529569,-45.72,345.9355395974997,41.119844618623034,,160.09851019923963,533.661700664132,3.603426150650312e-12,7.002924195792959,-5.890010590307998e-11,0.0,3.603426150650312e-12,7.002924195792959,-5.890010590307998e-11,0.0,0.0,3.588811375417856,0.0,0.0,-1.7564837689524803e-12,-3.4141128203751028,5.895606572720173e-11,4.551736765279202e-11,-0.12283636750609628,-0.5678761634771563,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.202474952957,70.33200001400837,232.78,-2237.202474952957,-23.737,232.78,-2237.202474952957,23.29750000700419,232.78,-2237.202474952957,0.0,232.78,-2237.202474952957,47.5,232.78,-2237.202474952957,-47.5,232.78,-2237.202474952957,0.0,-46.41999999999999,-1901.921,100.0,546.579,-2140.1214772213407,100.0,295.71662695824847
3,True,1.1368683772161603e-13,4,235.32,-1865.0,278.5,372.5056890318674,-43.18000000000001,344.49171875704167,40.87410632039005,,159.82557227067736,532.7519075689245,3.4002497744673462e-12,6.612084608746831,-5.890088210855623e-11,0.0,3.4002497744673462e-12,6.612084608746831,-5.890088210855623e-11,0.0,0.0,3.3888677883199425,0.0,0.0,-1.6564093975160254e-12,-3.223216820426889,5.895063173731715e-11,4.537525910564e-11,-0.11591769272631439,-0.5689934896421802,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.5056890318674,70.33200001400841,235.32,-2237.5056890318674,-23.737,235.32,-2237.5056890318674,23.29750000700421,235.32,-2237.5056890318674,0.0,235.32,-2237.5056890318674,47.5,235.32,-2237.5056890318674,-47.5,235.32,-2237.5056890318674,0.0,-43.879999999999995,-1901.921,100.0,546.579,-2139.9976350319066,100.0,297.5929358436599
4,True,0.0,4,237.86,-1865.0,278.5,372.79135070586926,-40.639999999999986,343.04503814032506,40.628267478732084,,159.55858713984435,531.8619571328145,3.2007825321507755e-12,6.221553830351463,-5.8929632689512e-11,0.0,3.2007825321507755e-12,6.221553830351463,-5.8929632689512e-11,0.0,0.0,3.1890440924357226,0.0,0.0,-1.5591756930353745e-12,-3.0325097379157397,5.897374669133495e-11,4.5275783122633584e-11,-0.10901540479157941,-0.5701279771880247,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.7913507058693,70.33200001400827,237.86,-2237.7913507058693,-23.737,237.86,-2237.7913507058693,23.29750000700414,237.86,-2237.7913507058693,0.0,237.86,-2237.7913507058693,47.5,237.86,-2237.7913507058693,-47.5,237.86,-2237.7913507058693,0.0,-41.339999999999975,-1901.921,100.0,546.579,-2139.8611097087182,100.0,299.4668748735703
5,True,2.2737367544323206e-13,4,240.4,-1865.0,278.5,373.0595002960072,-38.099999999999994,341.5954539918603,40.38231321764062,,159.29744371075043,530.9914790358347,3.0018853037655644e-12,5.831313027721321,-5.89268772380539e-11,0.0,3.0018853037655644e-12,5.831313027721321,-5.89268772380539e-11,0.0,0.0,2.9893301494984894,0.0,0.0,-1.463345554803606e-12,-2.841982878222832,5.89657384531153e-11,4.5133674575481564e-11,-0.10212848076451396,-0.5712797575424948,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.059500296007,70.33200001400834,240.4,-2238.059500296007,-23.737,240.4,-2238.059500296007,23.297500007004174,240.4,-2238.059500296007,0.0,240.4,-2238.059500296007,47.5,240.4,-2238.059500296007,-47.5,240.4,-2238.059500296007,0.0,-38.79999999999998,-1901.921,100.0,546.579,-2139.7119303872237,100.0,301.33844949196566
6,True,2.2737367544323206e-13,4,242.94,-1865.0,278.5,373.31017553919764,-35.56,340.14292221431776,40.13622864194524,,159.0420328645048,530.1401095483492,2.7945815854918637e-12,5.44134349154558,-5.893381640219848e-11,0.0,2.7945815854918637e-12,5.44134349154558,-5.893381640219848e-11,0.0,0.0,2.789715867788705,0.0,0.0,-1.358782142240278e-12,-2.651627623756875,5.896732038354149e-11,4.5005776883044746e-11,-0.09525590870551078,-0.5724489684536831,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.3101755391976,70.33200001400834,242.94,-2238.3101755391976,-23.737,242.94,-2238.3101755391976,23.297500007004174,242.94,-2238.3101755391976,0.0,242.94,-2238.3101755391976,47.5,242.94,-2238.3101755391976,-47.5,242.94,-2238.3101755391976,0.0,-36.25999999999999,-1901.921,100.0,546.579,-2139.5501243356166,100.0,303.20766479393365
7,True,1.1368683772161603e-13,4,245.48000000000002,-1865.0,278.5,373.54341161517823,-33.01999999999998,338.6873983523982,39.88999883006578,,158.79224733129837,529.3074911043278,2.5908702598926657e-12,5.051626627674476,-5.893886371813054e-11,0.0,2.5908702598926657e-12,5.051626627674476,-5.893886371813054e-11,0.0,0.0,2.590191197393166,0.0,0.0,-1.2577917543167424e-12,-2.46143543028131,5.896762963450963e-11,4.487787919060793e-11,-0.0883966868997196,-0.5736357540493618,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.5434116151782,70.33200001400834,245.48000000000002,-2238.5434116151782,-23.737,245.48000000000002,-2238.5434116151782,23.297500007004174,245.48000000000002,-2238.5434116151782,0.0,245.48000000000002,-2238.5434116151782,47.5,245.48000000000002,-2238.5434116151782,-47.5,245.48000000000002,-2238.5434116151782,0.0,-33.71999999999997,-1901.921,100.0,546.579,-2139.375716974306,100.0,305.0745255293016
8,True,5.684341886080802e-14,4,248.02,-1865.0,278.5,373.75924117151453,-30.47999999999999,337.22883757654597,39.6436088267605,,158.54798156406585,528.4932718802194,2.3973266290433363e-12,4.662143948843408,-5.894488088309304e-11,0.0,2.3973266290433363e-12,4.662143948843408,-5.894488088309304e-11,0.0,0.0,2.3907461255140916,0.0,0.0,-1.1668747268667776e-12,-2.2713978233293166,5.896960201059582e-11,4.476419235288631e-11,-0.08154982310126482,-0.5748402649032069,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.7592411715145,70.33200001400834,248.02,-2238.7592411715145,-23.737,248.02,-2238.7592411715145,23.297500007004174,248.02,-2238.7592411715145,0.0,248.02,-2238.7592411715145,47.5,248.02,-2238.7592411715145,-47.5,248.02,-2238.7592411715145,0.0,-31.17999999999998,-1901.921,100.0,546.579,-2139.1887318939876,100.0,306.9390361060132
9,True,5.684341886080802e-14,4,250.56,-1865.0,278.5,373.95769434670865,-27.939999999999998,335.7671946664856,39.39704363586054,,158.30913161353126,527.6971053784374,2.2019637440115736e-12,4.272877066524021,-5.896377886159045e-11,0.0,2.2019637440115736e-12,4.272877066524021,-5.896377886159045e-11,0.0,0.0,2.191370671822399,0.0,0.0,-1.0738530668268954e-12,-2.081506394701621,5.898470450716435e-11,4.4636294660449494e-11,-0.07471433379331911,-0.5760626581079046,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.9576943467086,70.33200001400824,250.56,-2238.9576943467086,-23.737,250.56,-2238.9576943467086,23.297500007004125,250.56,-2238.9576943467086,0.0,250.56,-2238.9576943467086,47.5,250.56,-2238.9576943467086,-47.5,250.56,-2238.9576943467086,0.0,-28.639999999999986,-1901.921,100.0,546.579,-2138.9891908723403,100.0,308.80120059324855
