# format_version: 3
# timestamp: 1788679590.2440104
# geometry_path: C:\Users\rapha\Documents\BSSR\Suspension_App\BSSR-suspension\models\aurora\rear.yaml
# geometry_hash: eef84e167d20212807fe946cf822463f1ca2655b1565eae5050e94db24b60b50
# sweep_path: C:\Users\rapha\Documents\BSSR\Suspension_App\BSSR-suspension\models\aurora\outputs\rear\_resolved_sweeps\02_damper_stroke.yaml
# sweep_hash: 2197668860144655f0594f9227bc9c4d4453ac39e8ee390962424d3f5293f8d3
# column_units: {"anti_dive": "%", "anti_lift": "%", "anti_squat": "%", "axle_inboard_x": "mm", "axle_inboard_y": "mm", "axle_inboard_z": "mm", "axle_midpoint_x": "mm", "axle_midpoint_y": "mm", "axle_midpoint_z": "mm", "axle_outboard_x": "mm", "axle_outboard_y": "mm", "axle_outboard_z": "mm", "camber": "deg", "caster": "deg", "damper_length": "mm", "deriv_camber_wrt_hub_z": "deg/mm", "deriv_caster_wrt_hub_z": "deg/mm", "deriv_damper_length_wrt_hub_z": "mm/mm", "deriv_half_track_wrt_hub_z": "mm/mm", "deriv_kpi_wrt_hub_z": "deg/mm", "deriv_steer_angle_wrt_hub_z": "deg/mm", "deriv_toe_angle_wrt_hub_z": "deg/mm", "deriv_wheel_center_x_wrt_hub_z": "mm/mm", "fvic_y": "mm", "fvic_z": "mm", "fvsa_length": "mm", "half_track": "mm", "kpi": "deg", "mechanical_trail": "mm", "scrub_radius": "mm", "steer_angle": "deg", "steering_axis_offset_ground": "mm", "strut_bottom_x": "mm", "strut_bottom_y": "mm", "strut_bottom_z": "mm", "strut_top_x": "mm", "strut_top_y": "mm", "strut_top_z": "mm", "svic_x": "mm", "svic_z": "mm", "svsa_angle": "deg", "svsa_length": "mm", "target_damper_length_left": "mm", "toe_angle": "deg", "trailing_arm_outboard_x": "mm", "trailing_arm_outboard_y": "mm", "trailing_arm_outboard_z": "mm", "trailing_arm_pivot_a_x": "mm", "trailing_arm_pivot_a_y": "mm", "trailing_arm_pivot_a_z": "mm", "trailing_arm_pivot_b_x": "mm", "trailing_arm_pivot_b_y": "mm", "trailing_arm_pivot_b_z": "mm", "wheel_center_x": "mm", "wheel_center_y": "mm", "wheel_center_z": "mm", "wheel_contact_centre_x": "mm", "wheel_contact_centre_y": "mm", "wheel_contact_centre_z": "mm", "wheel_inboard_x": "mm", "wheel_inboard_y": "mm", "wheel_inboard_z": "mm", "wheel_outboard_x": "mm", "wheel_outboard_y": "mm", "wheel_outboard_z": "mm", "wheel_travel": "mm"}
#
step_index,solver_converged,solver_max_residual,solver_nfev,target_damper_length_left,camber,caster,kpi,steering_axis_offset_ground,scrub_radius,mechanical_trail,toe_angle,steer_angle,svic_x,svic_z,svsa_length,fvic_y,fvic_z,fvsa_length,wheel_travel,half_track,damper_length,svsa_angle,anti_dive,anti_lift,anti_squat,deriv_camber_wrt_hub_z,deriv_toe_angle_wrt_hub_z,deriv_steer_angle_wrt_hub_z,deriv_caster_wrt_hub_z,deriv_kpi_wrt_hub_z,deriv_half_track_wrt_hub_z,deriv_wheel_center_x_wrt_hub_z,deriv_damper_length_wrt_hub_z,trailing_arm_pivot_a_x,trailing_arm_pivot_a_y,trailing_arm_pivot_a_z,trailing_arm_pivot_b_x,trailing_arm_pivot_b_y,trailing_arm_pivot_b_z,trailing_arm_outboard_x,trailing_arm_outboard_y,trailing_arm_outboard_z,axle_inboard_x,axle_inboard_y,axle_inboard_z,axle_outboard_x,axle_outboard_y,axle_outboard_z,axle_midpoint_x,axle_midpoint_y,axle_midpoint_z,wheel_center_x,wheel_center_y,wheel_center_z,wheel_inboard_x,wheel_inboard_y,wheel_inboard_z,wheel_outboard_x,wheel_outboard_y,wheel_outboard_z,wheel_contact_centre_x,wheel_contact_centre_y,wheel_contact_centre_z,strut_top_x,strut_top_y,strut_top_z,strut_bottom_x,strut_bottom_y,strut_bottom_z
0,True,1.1368683772161603e-13,5,289.4723250393611,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,371.71969746175773,,,,49.49209310632983,47.474,289.4723260393611,31.714407060443364,,,-109.96789645337054,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2236.7196974617577,70.33200001400839,327.99209310632983,-2236.7196974617577,69.332,327.99209310632983,-2236.7196974617577,23.737,327.99209310632983,-2236.7196974617577,46.534499999999994,327.99209310632983,-2236.7196974617577,47.474,327.99209310632983,-2236.7196974617577,94.97399999999999,327.99209310632983,-2236.7196974617577,-0.026000000000003354,327.99209310632983,-2236.7196974617577,47.474,48.792093106329844,-1901.921,100.0,546.579,-2126.917472680389,100.0,364.4504332565558
1,True,4.547473508864641e-13,4,290.97232503936164,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,372.03275564073783,,,,47.081094841407605,47.474,290.97232603936163,31.960889335079482,,,-103.60179785800231,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.032755640738,70.3320000140084,325.5810948414076,-2237.032755640738,69.332,325.5810948414076,-2237.032755640738,23.737,325.5810948414076,-2237.032755640738,46.534499999999994,325.5810948414076,-2237.032755640738,47.474,325.5810948414076,-2237.032755640738,94.97399999999999,325.5810948414076,-2237.032755640738,-0.026000000000003354,325.5810948414076,-2237.032755640738,47.474,46.38109484140762,-1901.921,100.0,546.579,-2127.469207688148,100.0,362.7505459200597
2,True,1.1368683772161603e-13,4,292.47232503936107,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,372.33076756646915,,,,44.663187128442644,47.474,292.47232603936106,32.20744972714613,,,-97.34234382446226,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.330767566469,70.33200001400822,323.16318712844264,-2237.330767566469,69.332,323.16318712844264,-2237.330767566469,23.737,323.16318712844264,-2237.330767566469,46.534499999999994,323.16318712844264,-2237.330767566469,47.474,323.16318712844264,-2237.330767566469,94.97399999999999,323.16318712844264,-2237.330767566469,-0.026000000000003354,323.16318712844264,-2237.330767566469,47.474,43.963187128442655,-1901.921,100.0,546.579,-2128.0110033599626,100.0,361.0436344236053
3,True,1.7053025658242404e-13,4,293.97232503936124,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,372.61363097106914,,,,42.238404037823614,47.474,293.97232603936123,32.454096933958446,,,-91.18669438957473,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.613630971069,70.33200001400836,320.7384040378236,-2237.613630971069,69.332,320.7384040378236,-2237.613630971069,23.737,320.7384040378236,-2237.613630971069,46.534499999999994,320.7384040378236,-2237.613630971069,47.474,320.7384040378236,-2237.613630971069,94.97399999999999,320.7384040378236,-2237.613630971069,-0.026000000000003354,320.7384040378236,-2237.613630971069,47.474,41.538404037823625,-1901.921,100.0,546.579,-2128.5427811983773,100.0,359.32970957820066
4,True,1.1368683772161603e-13,4,295.4723250393612,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,372.8812425259139,,,,39.8067799933267,47.474,295.4723260393612,32.7008396657979,,,-85.13208561483553,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2237.881242525914,70.33200001400833,318.3067799933267,-2237.881242525914,69.332,318.3067799933267,-2237.881242525914,23.737,318.3067799933267,-2237.881242525914,46.534499999999994,318.3067799933267,-2237.881242525914,47.474,318.3067799933267,-2237.881242525914,94.97399999999999,318.3067799933267,-2237.881242525914,-0.026000000000003354,318.3067799933267,-2237.881242525914,47.474,39.10677999332671,-1901.921,100.0,546.579,-2129.064461891746,100.0,357.60878230699
5,True,5.684341886080801e-13,4,296.97232503936175,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,373.1334978206778,,,,37.36834977909257,47.474,296.97232603936175,32.947686648400975,,,-79.17582682420219,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.133497820678,70.33200001400834,315.86834977909257,-2238.133497820678,69.332,315.86834977909257,-2238.133497820678,23.737,315.86834977909257,-2238.133497820678,46.534499999999994,315.86834977909257,-2238.133497820678,47.474,315.86834977909257,-2238.133497820678,94.97399999999999,315.86834977909257,-2238.133497820678,-0.026000000000003354,315.86834977909257,-2238.133497820678,47.474,36.66834977909258,-1901.921,100.0,546.579,-2129.5759652981437,100.0,355.88086364746516
6,True,3.979039320256561e-13,4,298.4723250393608,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,373.3702913418324,,,,34.92314854679563,47.474,298.4723260393608,33.19464662546586,,,-73.31529794528197,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.3702913418324,70.3320000140084,313.42314854679563,-2238.3702913418324,69.332,313.42314854679563,-2238.3702913418324,23.737,313.42314854679563,-2238.3702913418324,46.534499999999994,313.42314854679563,-2238.3702913418324,47.474,313.42314854679563,-2238.3702913418324,94.97399999999999,313.42314854679563,-2238.3702913418324,-0.026000000000003354,313.42314854679563,-2238.3702913418324,47.474,34.22314854679564,-1901.921,100.0,546.579,-2130.077210428862,100.0,354.1459647537427
7,True,1.7053025658242404e-13,4,299.9723250393611,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,373.5915164505923,,,,32.47121182298423,47.474,299.9723260393611,33.441728361181816,,,-67.54794694894366,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.5915164505923,70.33200001400817,310.97121182298423,-2238.5915164505923,69.332,310.97121182298423,-2238.5915164505923,23.737,310.97121182298423,-2238.5915164505923,46.534499999999994,310.97121182298423,-2238.5915164505923,47.474,310.97121182298423,-2238.5915164505923,94.97399999999999,310.97121182298423,-2238.5915164505923,-0.026000000000003354,310.97121182298423,-2238.5915164505923,47.474,31.77121182298424,-1901.921,100.0,546.579,-2130.5681154314866,100.0,352.40409689889054
8,True,1.1368683772161603e-13,4,301.4723250393613,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,373.7970653602906,,,,30.01257551662337,47.474,301.4723260393613,33.688940642780196,,,-61.87128738274574,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.7970653602906,70.3320000140083,308.5125755166234,-2238.7970653602906,69.332,308.5125755166234,-2238.7970653602906,23.737,308.5125755166234,-2238.7970653602906,46.534499999999994,308.5125755166234,-2238.7970653602906,47.474,308.5125755166234,-2238.7970653602906,94.97399999999999,308.5125755166234,-2238.7970653602906,-0.026000000000003354,308.5125755166234,-2238.7970653602906,47.474,29.312575516623383,-1901.921,100.0,546.579,-2131.048597572522,100.0,350.6552714773235
9,True,1.7053025658242404e-13,4,302.972325039361,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,373.986829113162,,,,27.547275926829002,47.474,302.972326039361,33.93629228311108,,,-56.28289599369326,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2238.986829113162,70.3320000140085,306.047275926829,-2238.986829113162,69.332,306.047275926829,-2238.986829113162,23.737,306.047275926829,-2238.986829113162,46.534499999999994,306.047275926829,-2238.986829113162,47.474,306.047275926829,-2238.986829113162,94.97399999999999,306.047275926829,-2238.986829113162,-0.026000000000003354,306.047275926829,-2238.986829113162,47.474,26.847275926829013,-1901.921,100.0,546.579,-2131.518573219579,100.0,348.8995000072569
