sweep,kind,channel,characteristic,column,unit,at_design,min,max,range,at_start,at_end
01_bump_parallel,heave,camber,Camber,camber_left,deg,3.410637732728124e-07,-0.8833206088815545,0.1210076252248146,1.004328234106369,-0.048262411343246,-0.8833206088815545
01_bump_parallel,heave,caster,Caster,caster_left,deg,10.000008396467782,9.996327592125636,10.027917673826533,0.03159008170089628,10.001378447949758,10.027917673826533
01_bump_parallel,heave,toe,Toe (positive = toe-in),toe_angle_left,deg,-1.5001479503735277e-06,-0.0073486225876696,0.0173256756342021,0.0246742982218717,0.0166476663259464,-0.0058197084219674
01_bump_parallel,heave,scrub_signed,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.5819474873978958,-1.5866180096859597,-1.5810373248146714,0.005580684871288266,-1.5817357423768126,-1.5866180096859597
01_bump_parallel,heave,trail,Mechanical trail,mechanical_trail_left,mm,49.23094821577655,49.21556518477693,49.2409871533844,0.02542196860747481,49.21636404488292,49.24086710424208
01_bump_parallel,heave,half_track,Half track,half_track_left,mm,453.5420004560153,444.6959931092613,453.6271660817724,8.931172972511092,444.6959931092613,449.1393530154947
01_bump_parallel,heave,wheel_travel,Wheel travel,wheel_travel_left,mm,1.5197372249531327e-08,-54.99999997410225,50.00000002388418,104.99999999798644,-54.99999997410225,50.00000002388418
01_bump_parallel,heave,damper_length,Damper length,damper_length_left,mm,242.8112975096272,217.0122073990159,270.54428992866315,53.532082529647255,270.54428992866315,217.0122073990159
01_bump_parallel,heave,motion_ratio,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208278494178,0.5014639685388729,0.5222974792185161,0.02083351067964323,0.5014644946795646,0.5222974792185161
01_bump_parallel,heave,rc_height,Roll-centre height,roll_center_z,mm,12.492482079599062,-42.53411849916949,75.99249617808493,118.52661467725443,75.99249617808493,-42.53411849916949
01_bump_parallel,heave,fvic_y,FVIC lateral (y),fvic_y_left,mm,-5930.606286340538,-83588.95648075362,49231.53999038835,132820.496471142,4796.29891979853,-1606.5498128959105
01_bump_parallel,heave,fvic_z,FVIC height (z),fvic_z_left,mm,185.00002120427675,-8441.558731844905,12425.812386839993,20867.371118684896,-1344.3848231789048,-371.139016269493
01_bump_parallel,heave,fvsa,FVSA length,fvsa_length_left,mm,6386.848506554464,-49500.79068393287,84957.7067063318,134458.49739026467,-4538.409067109267,2098.250417414558
01_bump_parallel,heave,track_change,Track change,track_change,mm,2.18213051539351e-06,-17.692014098289974,0.1703329591813371,17.86234705747131,-17.692014098289974,-8.805292085986366
01_bump_parallel,heave,steering_ratio,Steering ratio (rack),steer_per_rack_abs,deg/mm,0.6832501760556021,0.635236089408355,0.7414712785643858,0.10623518915603081,0.7414712785643858,0.635236089408355
01_bump_parallel,heave,camber_gain,Camber gain,deriv_camber_wrt_hub_z_left,deg/mm,-0.0089095510543137,-0.027967619521021,0.0131192236755135,0.0410868431965345,0.0131192236755135,-0.027967619521021
02_roll,roll,camber_lr,Camber (left),camber_left,deg,8.78663529512535e-08,-0.325210195129198,0.1210069774100914,0.4462171725392894,0.1210069774100914,-0.325210195129198
02_roll,roll,camber_lr,Camber (right),camber_right,deg,9.446923178622665e-08,-0.325210736569662,0.1210078614819257,0.4462185980515877,-0.325210736569662,0.1210078614819257
02_roll,roll,caster_lr,Caster (left),caster_left,deg,10.00000841163954,9.996327648199918,10.010018763618788,0.01369111541887058,9.996327648199918,10.010018763618788
02_roll,roll,caster_lr,Caster (right),caster_right,deg,10.00000840160187,9.996327563905798,10.010018803570755,0.013691239664957777,10.010018803570755,9.996327563905798
02_roll,roll,toe_lr,Toe (left),toe_angle_left,deg,-5.831562690276248e-07,-0.0066213857513203,0.0105100343806343,0.0171314201319546,0.0105100343806343,-0.0066213857513203
02_roll,roll,toe_lr,Toe (right),toe_angle_right,deg,-3.605893155410304e-07,-0.0066192755091714,0.0105073284721789,0.0171266039813503,-0.0066192755091714,0.0105073284721789
02_roll,roll,scrub_signed,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.581947194582807,-1.598810527846678,-1.5702827551231664,0.02852777272351159,-1.598810527846678,-1.5702827551231664
