sweep,kind,channel,characteristic,column,unit,at_design,min,max,range,at_start,at_end
01_bump,heave,wheel_travel,Wheel travel,wheel_travel,mm,0.0,-50.80000000000001,50.80000000000001,101.60000000000002,-50.80000000000001,50.80000000000001
01_bump,heave,damper_length,Damper length,damper_length,mm,319.47232648331646,288.6568017903221,348.81477535817135,60.15797356784924,348.81477535817135,288.6568017903221
01_bump,heave,motion_ratio,Motion ratio (damper/wheel),motion_ratio,mm/mm,0.5907409488476892,0.5656925008710537,0.6240243320937634,0.058331831222709685,0.5656925008710537,0.6240243320937634
01_bump,heave,recession_rate,Wheel-centre recession rate,deriv_wheel_center_x_wrt_hub_z,mm/mm,0.0,-0.1367270291092876,0.1367270291092875,0.2734540582185751,-0.1367270291092876,0.1367270291092875
01_bump,heave,svic_x,SVIC longitudinal (x),svic_x,mm,-1865.0,-1865.0,-1865.0,0.0,-1865.0,-1865.0
01_bump,heave,svic_z,SVIC height (z),svic_z,mm,278.5,278.5,278.5,0.0,278.5,278.5
01_bump,heave,svsa,SVSA length,svsa_length,mm,375.00000101480873,371.54321519993664,375.00000101480873,3.4567858148720916,371.54321519993664,371.54321519993664
01_bump,heave,svsa_angle,SVSA angle,svsa_angle,deg,36.66891217418767,31.58042856892639,41.611079036571525,10.030650467645135,41.611079036571525,31.58042856892639
01_bump,heave,anti_squat,Anti-squat,anti_squat,%,520.0357537117122,,,,,
01_bump,heave,anti_lift,Anti-lift,anti_lift,%,156.0107261135137,,,,,
02_damper_stroke,damper_stroke,damper_length,Damper length,damper_length,mm,319.47232603936123,289.4723260393611,349.4723260393616,60.000000000000455,289.4723260393611,349.4723260393616
02_damper_stroke,damper_stroke,wheel_travel,Wheel travel,wheel_travel,mm,7.515224638154905e-07,-51.96288646599712,49.49209310632983,101.45497957232695,49.49209310632983,-51.96288646599712
02_damper_stroke,damper_stroke,motion_ratio,Motion ratio (damper/wheel),motion_ratio,mm/mm,0.5907443323983941,0.5657621796689173,0.6221489338354615,0.05638675416654426,0.6221489338354615,0.5657621796689173
