sweep,kind,group,characteristic,column,unit,at_design,min,max,range,at_start,at_end
01_bump_parallel,heave,corner,Camber,camber_left,deg,3.410637732728124e-07,-0.8833206088815545,0.1210076252248146,1.004328234106369,-0.048262411343246,-0.8833206088815545
01_bump_parallel,heave,corner,Caster,caster_left,deg,10.000008396467782,9.996327592125636,10.027917673826533,0.03159008170089628,10.001378447949758,10.027917673826533
01_bump_parallel,heave,corner,Kingpin inclination,kpi_left,deg,10.000008363492457,9.877148031453675,10.884355164745031,1.007207133291356,10.045335703946506,10.884355164745031
01_bump_parallel,heave,corner,Toe (positive = toe-in),toe_angle_left,deg,-1.5001479503735277e-06,-0.0073486225876696,0.0173256756342021,0.0246742982218717,0.0166476663259464,-0.0058197084219674
01_bump_parallel,heave,corner,ISO steer angle,steer_angle_left,deg,1.5001479503735277e-06,-0.0173256756342021,0.0073486225876696,0.0246742982218717,-0.0166476663259464,0.0058197084219674
01_bump_parallel,heave,corner,Scrub radius (ISO unsigned),scrub_radius_left,mm,49.25635816904612,49.2409666570986,49.26652011143667,0.025553454338066217,49.24177472184727,49.26642213400815
01_bump_parallel,heave,corner,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.5819474873978958,-1.5866180096859597,-1.5810373248146714,0.005580684871288266,-1.5817357423768126,-1.5866180096859597
01_bump_parallel,heave,corner,Steering-axis offset at ground,steering_axis_offset_ground_left,mm,-1.5819474873978958,-1.5866180096859597,-1.5810373248146714,0.005580684871288266,-1.5817357423768126,-1.5866180096859597
01_bump_parallel,heave,corner,Mechanical trail,mechanical_trail_left,mm,49.23094821577655,49.21556518477693,49.2409871533844,0.02542196860747481,49.21636404488292,49.24086710424208
01_bump_parallel,heave,corner,Half track,half_track_left,mm,453.5420004560153,444.6959931092613,453.6271660817724,8.931172972511092,444.6959931092613,449.1393530154947
01_bump_parallel,heave,corner,Wheel travel,wheel_travel_left,mm,1.5197372249531327e-08,-54.99999997410225,50.00000002388418,104.99999999798644,-54.99999997410225,50.00000002388418
01_bump_parallel,heave,corner,Damper length,damper_length_left,mm,242.8112975096272,217.0122073990159,270.54428992866315,53.532082529647255,270.54428992866315,217.0122073990159
01_bump_parallel,heave,corner,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208278494178,0.5014639685388729,0.5222974792185161,0.02083351067964323,0.5014644946795646,0.5222974792185161
01_bump_parallel,heave,corner,Motion ratio squared,motion_ratio_sq_left,-,0.25950957984678613,0.2514661117427557,0.27279465679801623,0.02132854505526055,0.25146663942423103,0.27279465679801623
01_bump_parallel,heave,corner,"Front-view IC, y",fvic_y_left,mm,-5930.606286340538,-83588.95648075362,49231.53999038835,132820.496471142,4796.29891979853,-1606.5498128959105
01_bump_parallel,heave,corner,"Front-view IC, z",fvic_z_left,mm,185.00002120427675,-8441.558731844905,12425.812386839993,20867.371118684896,-1344.3848231789048,-371.139016269493
01_bump_parallel,heave,corner,Front-view swing-arm length,fvsa_length_left,mm,6386.848506554464,-49500.79068393287,84957.7067063318,134458.49739026467,-4538.409067109267,2098.250417414558
01_bump_parallel,heave,corner,"Camber, road-relative",camber_road_left,deg,3.4021415609774944e-07,-0.8833206104057499,0.12100762514716176,1.0043282355529117,-0.04826241254401882,-0.8833206104057499
01_bump_parallel,heave,axle,Track,track,mm,907.084,907.084,907.084,0.0,907.084,907.084
01_bump_parallel,heave,axle,Track change,track_change,mm,2.18213051539351e-06,-17.692014098289974,0.1703329591813371,17.86234705747131,-17.692014098289974,-8.805292085986366
01_bump_parallel,heave,axle,Track change rate,track_change_rate,mm/mm,0.0575388617405328,-0.409555327173021,0.592675488818624,1.0022308159916449,0.592675488818624,-0.409555327173021
01_bump_parallel,heave,axle,Roll-centre height,roll_center_z,mm,12.492482079599062,-42.53411849916949,75.99249617808493,118.52661467725443,75.99249617808493,-42.53411849916949
01_bump_parallel,heave,axle,Roll-centre lateral position,roll_center_y,mm,-1.4406162904379016e-05,-3.815206571289309e-05,3.780848504675305e-05,7.596055075964614e-05,5.109201310915523e-07,2.1975985760036565e-06
01_bump_parallel,heave,axle,Roll-centre migration vs travel,rc_migration_rate,mm/mm,-1.1334478115457136,-1.1661789971388474,-1.0572581133078296,0.10892088383101783,-1.1455517785800287,-1.0572581133078296
01_bump_parallel,heave,axle,Body roll,roll,deg,8.496171750629456e-10,-4.860680114943234e-09,4.422645815387072e-09,9.283325930330305e-09,1.200772823896726e-09,1.5241954321029538e-09
01_bump_parallel,heave,axle,Heave,heave,mm,8.471971568724257e-09,-54.99999998341701,50.00000001205058,104.99999999546759,-54.99999998341701,50.00000001205058
01_bump_parallel,heave,axle,Ride-height change,ride_height_change,mm,-8.471971568724257e-09,-50.03317940755338,54.999900932772135,105.03308034032551,54.999900932772135,-50.03317940755338
01_bump_parallel,heave,axle,Rack displacement,rack_displacement,mm,-2.4447842861263783e-08,-1.6336321095877793e-07,2.670033438789688e-07,4.303665548377467e-07,6.334684599096363e-08,-3.1349628670795944e-08
01_bump_parallel,heave,axle,Steering ratio,steer_per_rack_left,deg/mm,-0.6832501760556021,-0.7414712785643858,-0.635236089408355,0.10623518915603081,-0.7414712785643858,-0.635236089408355
01_bump_parallel,heave,gradient,Camber gain,deriv_camber_wrt_hub_z_left,deg/mm,-0.0089095510543137,-0.027967619521021,0.0131192236755135,0.0410868431965345,0.0131192236755135,-0.027967619521021
01_bump_parallel,heave,gradient,Bump steer rate,deriv_toe_angle_wrt_hub_z_left,deg/mm,-0.0003722237527011,-0.0004373327941381,0.0002618120185874,0.0006991448127255,0.0002618120185874,0.0002166908537962
01_bump_parallel,heave,gradient,ISO steer gain in bump,deriv_steer_angle_wrt_hub_z_left,deg/mm,0.0003722237527011,-0.0002618120185874,0.0004373327941381,0.0006991448127255,-0.0002618120185874,-0.0002166908537962
01_bump_parallel,heave,gradient,Caster gain,deriv_caster_wrt_hub_z_left,deg/mm,0.0002706353675582,-0.0003988744439145,0.0009208590286668,0.0013197334725813,-0.0003988744439145,0.0009208590286668
01_bump_parallel,heave,gradient,KPI gain,deriv_kpi_wrt_hub_z_left,deg/mm,0.0089751842028073,-0.0131653749611808,0.0279294038609644,0.0410947788221452,-0.0131653749611808,0.0279294038609644
01_bump_parallel,heave,gradient,Half-track change rate,deriv_half_track_wrt_hub_z_left,mm/mm,0.0287694308702664,-0.2047776635865105,0.296337744409312,0.5011154079958224,0.296337744409312,-0.2047776635865105
01_bump_parallel,heave,gradient,Wheel-centre recession rate,deriv_wheel_center_x_wrt_hub_z_left,mm/mm,-0.0003095504830605,-0.000363695484609,0.0002177319359494,0.0005814274205584,0.0002177319359494,0.000180220479728
01_bump_parallel,heave,gradient,Damper rate vs wheel,deriv_damper_length_wrt_hub_z_left,mm/mm,-0.5094208278494178,-0.5222974792185161,-0.5014639685388729,0.02083351067964323,-0.5014644946795646,-0.5222974792185161
01_bump_parallel,heave,gradient,Toe per rack,deriv_toe_angle_wrt_rack_displacement_left,deg/mm,0.6832501760556021,0.635236089408355,0.7414712785643858,0.10623518915603081,0.7414712785643858,0.635236089408355
01_bump_parallel,heave,gradient,Steer per rack,deriv_steer_angle_wrt_rack_displacement_left,deg/mm,-0.6832501760556021,-0.7414712785643858,-0.635236089408355,0.10623518915603081,-0.7414712785643858,-0.635236089408355
01_bump_parallel,heave,gradient,Camber per rack,deriv_camber_wrt_rack_displacement_left,deg/mm,-0.1195763607360476,-0.132133373427721,-0.1094064041426316,0.022726969285089396,-0.132133373427721,-0.1094064041426316
02_roll,roll,corner,Camber,camber_left,deg,8.78663529512535e-08,-0.325210195129198,0.1210069774100914,0.4462171725392894,0.1210069774100914,-0.325210195129198
02_roll,roll,corner,Caster,caster_left,deg,10.00000841163954,9.996327648199918,10.010018763618788,0.01369111541887058,9.996327648199918,10.010018763618788
02_roll,roll,corner,Kingpin inclination,kpi_left,deg,10.00000835943875,9.877148017626702,10.326386024453177,0.44923800682647475,9.877148017626702,10.326386024453177
02_roll,roll,corner,Toe (positive = toe-in),toe_angle_left,deg,-5.831562690276248e-07,-0.0066213857513203,0.0105100343806343,0.0171314201319546,0.0105100343806343,-0.0066213857513203
02_roll,roll,corner,ISO steer angle,steer_angle_left,deg,5.831562690276248e-07,-0.0105100343806343,0.0066213857513203,0.0171314201319546,-0.0105100343806343,0.0066213857513203
02_roll,roll,corner,Scrub radius (ISO unsigned),scrub_radius_left,mm,49.25635651795329,49.24648070388656,49.25974498569109,0.013264281804531208,49.25974498569109,49.24648070388656
02_roll,roll,corner,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.581947194582807,-1.598810527846678,-1.5702827551231664,0.02852777272351159,-1.598810527846678,-1.5702827551231664
02_roll,roll,corner,Steering-axis offset at ground,steering_axis_offset_ground_left,mm,-1.581947194582807,-1.598810527846678,-1.5702827551231664,0.02852777272351159,-1.598810527846678,-1.5702827551231664
02_roll,roll,corner,Mechanical trail,mechanical_trail_left,mm,49.23094657324062,49.22143916818396,49.23379206349401,0.012352895310044687,49.23379206349401,49.22143916818396
02_roll,roll,corner,Half track,half_track_left,mm,453.5420014395672,451.3420898864943,453.6301429701043,2.2880530836100093,451.3420898864943,452.7989043474535
02_roll,roll,corner,Wheel travel,wheel_travel_left,mm,-6.8120584728603725e-09,-25.00000011235602,24.999999965700965,50.000000078056985,-25.00000011235602,24.999999965700965
02_roll,roll,corner,Damper length,damper_length_left,mm,242.81129770272813,229.9942350062837,255.4757426593598,25.481507653076108,255.4757426593598,229.9942350062837
02_roll,roll,corner,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208275875689,0.5040591727537695,0.5160349559642183,0.011975783210448787,0.5040591727537695,0.5160349559642183
02_roll,roll,corner,Motion ratio squared,motion_ratio_sq_left,-,0.2595095795800036,0.2540756496372145,0.26629207577699276,0.012216426139778247,0.2540756496372145,0.26629207577699276
02_roll,roll,corner,"Front-view IC, y",fvic_y_left,mm,-5930.606308347964,-83588.97173289301,-2857.888009824943,80731.08372306806,-83588.97173289301,-2857.888009824943
